time,state_f,state_estimated,drag_effect,state_model_guess,state_model_optimized
81.878448,3.431259,-57.024345,-60.455603999999994,-9.470470314353832,-48.65747453574078
81.880402,3.256134,-57.073036,-60.329170000000005,-9.499749298425257,-48.79521099869275
81.882355,3.166809,-57.125126,-60.291935,-9.528349866534189,-48.931247471150364
81.884308,3.079697,-57.180344,-60.260041,-9.557961784455452,-49.06258296098252
81.886261,2.994354,-57.238609,-60.232963,-9.58556298109452,-49.19500304674853
81.888214,2.999771,-57.300041,-60.299812,-9.613508104122344,-49.32329176628244
81.890167,2.842743,-57.365471,-60.208214,-9.64232269369259,-49.44687537657726
81.89212,2.597412,-57.434898,-60.032309999999995,-9.668695776077653,-49.572383886818635
81.894073,2.598366,-57.507423,-60.105789,-9.69463843198152,-49.69591405972103
81.896027,2.604179,-57.582684,-60.186863,-9.721778260244983,-49.814621261608835
81.89798,2.485588,-57.660702,-60.14629,-9.74712555928856,-49.933973415579686
81.899933,2.489197,-57.741447,-60.230644,-9.778701698325243,-50.08741273756253
81.901886,2.417679,-57.825806,-60.243485,-9.818949973512511,-50.2703119781795
81.903839,2.160431,-57.914772,-60.075203,-9.857818098016184,-50.45260173036615
81.905792,2.173683,-58.007751,-60.181433999999996,-9.893549632766769,-50.63731051169701
81.907745,2.337051,-58.103985,-60.441036000000004,-9.932231497477964,-50.81135132078331
81.909698,2.056686,-58.203266,-60.259952,-9.971566261638914,-50.979801730117366
81.911652,1.794472,-58.304756,-60.099228,-10.005717173630307,-51.155890763703354
81.913605,2.03862,-58.407509,-60.446129,-10.040713129231069,-51.32673237455581
81.915558,2.081963,-58.511078,-60.593041,-10.078438569212638,-51.487429154792586
81.917511,1.743996,-58.614735,-60.358731000000006,-10.113114373531033,-51.650007658498325
81.919464,1.684959,-58.717571,-60.40253,-10.145674084081621,-51.81354657071889
81.921417,1.886513,-58.818958,-60.705471,-10.179331694509512,-51.97172761102602
81.92337,1.914803,-58.918327,-60.83313,-10.213367882694575,-52.125563651405216
81.925323,1.804764,-59.015247,-60.820011,-10.24632149176363,-52.277514281575044
81.927277,1.725548,-59.109402,-60.834950000000006,-10.27853040645061,-52.42735707785247
81.92923,1.677338,-59.200943,-60.878281,-10.310047145000325,-52.57562613538664
81.931183,1.691467,-59.29034,-60.981807,-10.341386748525007,-52.72119796255398
81.933136,1.724922,-59.377766,-61.102688,-10.379273574065374,-52.89751405405295
81.935089,1.725372,-59.463585,-61.188957,-10.422495763394103,-53.1066490516231
81.937042,1.72789,-59.54789,-61.275780000000005,-10.46558264117413,-53.31124897143248
